time,temp_avg,temp_max,temp_min
3.78,621.59735478677,2665.3918144611,300.06032545151
3.84,621.86734228022,2665.178888567,300.06099473205
3.9,622.13399167832,2664.1279672162,300.06167176163
3.96,622.39737598981,2663.4038477378,300.06235663247
4.02,622.65735293647,2662.9373404019,300.06304940581
4.08,622.91406062279,2661.6304319857,300.0637501831
4.14,623.16772236264,2661.4520486876,300.06445908176
4.2,623.41814566884,2660.8622154939,300.06517616048
4.26,623.66533041076,2659.1696921484,300.06590150291
4.32,623.90954328492,2659.5304841188,300.06663523597
4.38,624.15072401267,2658.8147123715,300.06737744131
4.44,624.3887905518,2657.5682647411,300.06812819469
4.5,624.62388094988,2657.6329108608,300.06888760658
4.56,624.8560663466,2656.7880337048,300.06965578093
4.62,625.08534658602,2656.078137277,300.0704328112
4.68,625.31165024793,2655.8120404213,300.07121877887
4.74,625.53512627589,2654.776538982,300.07201380217
4.8,625.75590929482,2654.5994253914,300.07281800107
4.86,625.97380178068,2654.202616154,300.07363144091
4.92,626.188867643,2652.7762067364,300.07445422844
4.98,626.40137403189,2653.1266410003,300.07528650936
5.04,626.61117086116,2652.5982188597,300.0761283615
5.1,626.81818520335,2651.3264495549,300.07697987249
5.16,627.02263116766,2651.6556029582,300.07784118194
5.22,627.2245108415,2650.9924777571,300.0787123971
5.28,627.42376393848,2650.2453342264,300.07959361313
5.34,627.62041650683,2650.1802884729,300.0804849404
5.4,627.81458333822,2649.3805004212,300.0813865086
5.46,628.0063208627,2649.1554064747,300.08229843947
5.52,628.19546814385,2648.9295238667,300.08322081377
5.58,628.38214850285,2647.7585094556,300.08415376517
5.64,628.56657230581,2648.0517411593,300.08509744932
5.7,628.74852919596,2647.6889970197,300.08605194271
5.76,628.92800417936,2646.3485429112,300.08701735611
5.82,629.10525256836,2646.9308756634,300.08799385745
5.88,629.28019935727,2646.4293327247,300.088981554
5.94,629.45274787596,2645.6035793475,300.08998054594
6,629.62302443727,2645.7889722901,300.09099097931
6.06,629.79108801707,2645.1461214957,300.09201299138
6.12,629.95692583527,2644.8335864328,300.09304670547
6.18,630.12045347246,2644.7608872864,300.09409222912
6.24,630.28180944176,2643.8360336869,300.09514971878
6.3,630.44111806956,2644.0341799977,300.09621933293
6.36,630.59816845105,2643.8196586246,300.09730115743
6.42,630.75301398298,2642.4972762478,300.09839533364
6.48,630.90591358736,2643.2020467819,300.09950205431
6.54,631.05670510131,2642.8454022474,300.10062142174
6.6,631.20530447358,2641.9081084665,300.10175355172
6.66,631.35191768972,2642.3350955486,300.10289862908
6.72,631.49653691361,2641.8338128625,300.10405679526
6.78,631.6390915359,2641.402445467,300.10522817583
6.84,631.77959832375,2641.468542499,300.10641291667
6.9,631.91816373584,2640.781977386,300.10761118922
6.96,632.05483552009,2640.854984817,300.10882315422
7.02,632.18944237819,2640.7749585161,300.11004891798
7.08,632.32209984861,2639.6880116757,300.11128865737
7.14,632.45301142349,2640.2626461394,300.11254257821
7.2,632.58195651671,2640.037273832,300.11381078078
7.26,632.70891163977,2638.9624788719,300.11509341154
7.32,632.83412599122,2639.623728544,300.11639069272
7.38,632.95751593002,2639.2515603585,300.11770276543
7.44,633.07897608699,2638.6765901781,300.11902976174
7.5,633.19862599324,2638.9360741235,300.12037187479
7.56,633.31651742823,2638.415065641,300.1217292857
7.62,633.43262997501,2638.3392808249,300.12310215704
7.68,633.54687120965,2638.3831422051,300.1244906305
7.74,633.65937335609,2637.5260385798,300.12589491289
7.8,633.77025445962,2637.9477035655,300.12731521337
7.86,633.87929507646,2637.8429618237,300.12875164444
7.92,633.98654199387,2636.6104985618,300.1302043929
7.98,634.09224906981,2637.5000080491,300.13167371355
8.04,634.1962463026,2637.246768809,300.13315974038
8.1,634.29844239323,2636.5088459506,300.13466262599
8.16,634.39903813073,2636.9954945984,300.13618261472
8.22,634.49801916668,2636.5916289257,300.13771989259
